,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
158,Cazenga,CCGT,CCGT,PP,AO,132.0,,,0.0,0.0,0.0,2017.0,2017.0,2057.0,-8.8383,13.2344,{nan},{'GPD': {'WRI1023005'}},23
160,Dundee Biogas,Waste,,PP,ZA,2.22,,,0.0,0.0,0.0,2016.0,2016.0,2041.0,-28.119,30.3584,{nan},{'GPD': {'WRI1026020'}},2598
161,Ferro Waste Heat,Waste,,PP,ZA,2.2,,,0.0,0.0,0.0,2011.0,2011.0,2036.0,-25.725,27.6115,{nan},{'GPD': {'WRI1026031'}},928
162,Grahamstown,Bioenergy,,PP,ZA,3.5,,,0.0,0.0,0.0,2013.0,2013.0,2033.0,-33.315,26.4908,{nan},{'GPD': {'WRI1026028'}},2301
163,Hernic Waste Heat,Waste,,PP,ZA,25.47,,,0.0,0.0,0.0,2013.0,2013.0,2038.0,-25.662,27.837,{nan},{'GPD': {'WRI1026032'}},837
164,Huambo,Oil,,PP,AO,16.26,,,0.0,0.0,0.0,1979.0,1979.0,2019.0,-12.76,15.75,{nan},{'GPD': {'WRI1023006'}},60
167,Katende,Hydro,,PP,CD,64.0,,,0.0,0.0,0.0,2016.0,2016.0,2116.0,-6.3581,22.4472,{nan},{'GPD': {'WRI1061235'}},1502
171,Langer Heinrich,Oil,,PP,NA,10.0,,,0.0,0.0,0.0,1976.0,1976.0,2016.0,-22.8138,15.3248,{nan},{'GPD': {'WRI1023138'}},1375
172,Lobito,CCGT,CCGT,PP,AO,20.0,,,0.0,0.0,0.0,2017.0,2017.0,2057.0,-12.37,13.57,{nan},{'GPD': {'WRI1023007'}},56
173,Lomati,Bioenergy,,PP,ZA,10.1,,,0.0,0.0,0.0,2013.0,2013.0,2033.0,-25.772,31.0406,{nan},{'GPD': {'WRI1026025'}},2267
176,Luanda Diesel,Oil,,PP,AO,58.0,,,0.0,0.0,0.0,1979.0,1979.0,2019.0,-8.8383,13.2344,{nan},{'GPD': {'WRI1023008'}},23
177,Luanda Refinery,Oil,,PP,AO,18.5,,,0.0,0.0,0.0,1979.0,1979.0,2019.0,-8.8383,13.2344,{nan},{'GPD': {'WRI1023009'}},23
178,Luano,Oil,,PP,ZM,40.0,,,0.0,0.0,0.0,1984.7222222222222,1984.7222222222222,2024.7222222222222,-11.5667,24.1333,{nan},{'GPD': {'WRI1022388'}},1279
179,Luanshya Nchanga,Oil,,PP,ZM,14.6,,,0.0,0.0,0.0,1984.7222222222222,1984.7222222222222,2024.7222222222222,-13.1333,28.4,{nan},{'GPD': {'WRI1022389'}},2355
180,Lupohlo,Hydro,,PP,SZ,20.8,,,0.0,0.0,0.0,1977.2,1977.2,2077.2,-26.3763,31.1552,{nan},{'GPD': {'WRI1023187'}},1544
181,Lusaka,Oil,,PP,ZM,15.0,,,0.0,0.0,0.0,1984.7222222222222,1984.7222222222222,2024.7222222222222,-15.433,28.333,{nan},{'GPD': {'WRI1022385'}},1285
182,Malongo,Oil,,PP,AO,10.0,,,0.0,0.0,0.0,1979.0,1979.0,2019.0,-5.55,12.2,{nan},{'GPD': {'WRI1023010'}},64
183,Mariannhill Landfill,Waste,,PP,ZA,2.0,,,0.0,0.0,0.0,2011.0,2011.0,2036.0,-29.848,30.8359,{nan},{'GPD': {'WRI1026013'}},671
184,Mhlume Mill,Bioenergy,,PP,SZ,14.0,,,0.0,0.0,0.0,2012.0,2012.0,2032.0,-26.0333,31.85,{nan},{'GPD': {'WRI1023189'}},1556
185,Mtwara,CCGT,CCGT,PP,TZ,18.0,,,0.0,0.0,0.0,2012.5,2012.5,2052.5,-10.26,40.041,{nan},{'GPD': {'WRI1019876'}},190
186,Mufulira Nchanga,Oil,,PP,ZM,10.0,,,0.0,0.0,0.0,1984.7222222222222,1984.7222222222222,2024.7222222222222,-12.55,28.2333,{nan},{'GPD': {'WRI1022390'}},2403
188,Namibe,CCGT,CCGT,PP,AO,11.68,,,0.0,0.0,0.0,2017.0,2017.0,2057.0,-15.1961,12.1522,{nan},{'GPD': {'WRI1023012'}},1294
190,Nchalo Mill,Bioenergy,,PP,MW,10.0,,,0.0,0.0,0.0,2012.0,2012.0,2032.0,-15.7833,35.0,{nan},{'GPD': {'WRI1023103'}},324
191,Ndola,Oil,,PP,ZM,50.0,,,0.0,0.0,0.0,1984.7222222222222,1984.7222222222222,2024.7222222222222,-12.9667,28.6333,{nan},{'GPD': {'WRI1022386'}},2406
192,Neusberg,Hydro,,PP,ZA,12.57,,,0.0,0.0,0.0,1988.0,1988.0,2088.0,-28.772,20.7431,{nan},{'GPD': {'WRI1026017'}},856
193,Nkana,Oil,,PP,ZM,20.0,,,0.0,0.0,0.0,1984.7222222222222,1984.7222222222222,2024.7222222222222,-12.8167,28.2,{nan},{'GPD': {'WRI1022384'}},1216
194,Nyakato,CCGT,CCGT,PP,TZ,63.0,,,0.0,0.0,0.0,2012.0,2012.0,2052.0,-2.524,32.9662,{nan},{'GPD': {'WRI1019875'}},149
200,Petrosa Biogas,Waste,,PP,ZA,4.2,,,0.0,0.0,0.0,2007.0,2007.0,2032.0,-34.145,22.1045,{nan},{'GPD': {'WRI1026012'}},1825
201,Pointe Noire,Oil,,PP,CD,13.24,,,0.0,0.0,0.0,1984.7222222222222,1984.7222222222222,2024.7222222222222,-4.7947,11.8461,{nan},{'GPD': {'WRI1023507'}},2505
202,Rio Luachimo,Hydro,,PP,AO,16.0,,,0.0,0.0,0.0,1979.1818181818182,1979.1818181818182,2079.181818181818,-7.3,20.85,{nan},{'GPD': {'WRI1023013'}},34
204,Rutshuru,Hydro,,PP,CD,13.8,,,0.0,0.0,0.0,2015.0,2015.0,2115.0,-1.2258,29.46,{nan},{'GPD': {'WRI1061238'}},1511
205,Sha,Hydro,,PP,CD,68.0,,,0.0,0.0,0.0,1971.0,1971.0,2071.0,-10.752,27.245,{nan},{'GPD': {'WRI1023508'}},283
